table_name,column_name,data_type,is_nullable,is_primary_key,is_shadow_key,semantic_concept
OPERATION,ROWID,int,True,False,,
OPERATION,WORKORDER_TYPE,NCHAR(1),False,True,,
OPERATION,WORKORDER_BASE_ID,NVARCHAR(30),False,True,,
OPERATION,WORKORDER_LOT_ID,NVARCHAR(3),False,True,,
OPERATION,WORKORDER_SPLIT_ID,NVARCHAR(3),False,True,,
OPERATION,WORKORDER_SUB_ID,NVARCHAR(3),False,True,,
OPERATION,SEQUENCE_NO,smallint,False,True,,
OPERATION,RESOURCE_ID,NVARCHAR(15),False,False,,
OPERATION,SETUP_HRS,"DECIMAL(8,3)",True,False,,
OPERATION,RUN,"DECIMAL(20,8)",True,False,,
OPERATION,RUN_TYPE,NVARCHAR(15),False,False,,
OPERATION,LOAD_SIZE_QTY,"DECIMAL(20,8)",True,False,,
OPERATION,RUN_HRS,"DECIMAL(7,2)",True,False,,
OPERATION,MOVE_HRS,"DECIMAL(6,3)",True,False,,
OPERATION,TRANSIT_DAYS,"DECIMAL(6,3)",True,False,,
OPERATION,SERVICE_ID,NVARCHAR(15),True,False,,
OPERATION,SCRAP_YIELD_PCT,"DECIMAL(5,2)",True,False,,
OPERATION,SCRAP_YIELD_TYPE,NCHAR(1),False,False,,
OPERATION,FIXED_SCRAP_UNITS,"DECIMAL(20,8)",False,False,,
OPERATION,MINIMUM_MOVE_QTY,"DECIMAL(20,8)",True,False,,
OPERATION,CALC_START_QTY,"DECIMAL(20,8)",True,False,,
OPERATION,CALC_END_QTY,"DECIMAL(20,8)",True,False,,
OPERATION,COMPLETED_QTY,"DECIMAL(20,8)",False,False,,
OPERATION,DEVIATED_QTY,"DECIMAL(20,8)",False,False,,
OPERATION,ACT_SETUP_HRS,"DECIMAL(7,2)",False,False,,
OPERATION,ACT_RUN_HRS,"DECIMAL(7,2)",False,False,,
OPERATION,STATUS,NCHAR(1),False,False,,
OPERATION,SETUP_COMPLETED,NCHAR(1),False,False,,
OPERATION,SERVICE_BEGIN_DATE,datetime,True,False,,
OPERATION,CLOSE_DATE,datetime,True,False,,
OPERATION,OPERATION_TYPE,NVARCHAR(15),True,False,,
OPERATION,DRAWING_ID,NVARCHAR(30),True,False,,
OPERATION,DRAWING_REV_NO,NVARCHAR(8),True,False,,
OPERATION,OVERRIDE_QTYS,NCHAR(1),False,False,,
OPERATION,BEGIN_TRACEABILITY,NCHAR(1),False,False,,
OPERATION,CAPACITY_USAGE_MAX,smallint,True,False,,
OPERATION,CAPACITY_USAGE_MIN,smallint,True,False,,
OPERATION,TEST_ID,NVARCHAR(15),True,False,,
OPERATION,SPC_QTY,"DECIMAL(20,8)",True,False,,
OPERATION,SCHED_START_DATE,datetime,True,False,,
OPERATION,SCHED_FINISH_DATE,datetime,True,False,,
OPERATION,COULD_FINISH_DATE,datetime,True,False,,
OPERATION,ISDETERMINANT,NCHAR(1),False,False,,
OPERATION,SETUP_COST_PER_HR,"DECIMAL(22,8)",False,False,,
OPERATION,RUN_COST_PER_HR,"DECIMAL(22,8)",False,False,,
OPERATION,RUN_COST_PER_UNIT,"DECIMAL(22,8)",False,False,,
OPERATION,BUR_PER_HR_SETUP,"DECIMAL(22,8)",False,False,,
OPERATION,BUR_PER_HR_RUN,"DECIMAL(22,8)",False,False,,
OPERATION,BUR_PER_UNIT_RUN,"DECIMAL(22,8)",False,False,,
OPERATION,SERVICE_BASE_CHG,"DECIMAL(23,8)",False,False,,
OPERATION,BUR_PERCENT_SETUP,"DECIMAL(6,3)",False,False,,
OPERATION,BUR_PERCENT_RUN,"DECIMAL(6,3)",False,False,,
OPERATION,BUR_PER_OPERATION,"DECIMAL(23,8)",False,False,,
OPERATION,EST_ATL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_ATL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_ATL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_ATL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_ATL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_ATL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_ATL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_ATL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_ATL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_TTL_MAT_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_TTL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_TTL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,EST_TTL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_TTL_MAT_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_TTL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_TTL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,REM_TTL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_TTL_MAT_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_TTL_LAB_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_TTL_BUR_COST,"DECIMAL(23,8)",False,False,,
OPERATION,ACT_TTL_SER_COST,"DECIMAL(23,8)",False,False,,
OPERATION,SPLIT_ADJUSTMENT,"DECIMAL(20,8)",False,False,,
OPERATION,MILESTONE_ID,NVARCHAR(15),True,False,,
OPERATION,SCHEDULE_TYPE,smallint,True,False,,
OPERATION,MIN_SEGMENT_SIZE,"DECIMAL(14,2)",True,False,,
OPERATION,PROTECT_COST,NCHAR(1),False,False,,
OPERATION,DRAWING_FILE,NVARCHAR(255),True,False,,
OPERATION,DISPATCHED_QTY,"DECIMAL(20,8)",False,False,,
OPERATION,SERVICE_MIN_CHG,"DECIMAL(23,8)",False,False,,
OPERATION,VENDOR_ID,NVARCHAR(15),True,False,,
OPERATION,VENDOR_SERVICE_ID,NVARCHAR(30),True,False,,
OPERATION,SERVICE_PART_ID,NVARCHAR(30),True,False,,
OPERATION,LAST_DISP_DATE,datetime,True,False,,
OPERATION,LAST_RECV_DATE,datetime,True,False,,
OPERATION,WAREHOUSE_ID,NVARCHAR(15),True,False,,
OPERATION,ALLOCATED_QTY,"DECIMAL(20,8)",False,False,,
OPERATION,FULFILLED_QTY,"DECIMAL(20,8)",False,False,,
OPERATION,LEAST_MIN_MOVE_QTY,smallint,True,False,,
OPERATION,MAX_GAP_PREV_OP,int,True,False,,
OPERATION,APPLY_CALENDAR,NCHAR(1),True,False,,
OPERATION,MAX_DOWNTIME,int,True,False,,
OPERATION,ACCUM_DOWNTIME,NCHAR(1),True,False,,
OPERATION,RUN_QTY_PER_CYCLE,"DECIMAL(20,8)",True,False,,
OPERATION,USER_1,NVARCHAR(80),True,False,,
OPERATION,USER_2,NVARCHAR(80),True,False,,
OPERATION,USER_3,NVARCHAR(80),True,False,,
OPERATION,USER_4,NVARCHAR(80),True,False,,
OPERATION,USER_5,NVARCHAR(80),True,False,,
OPERATION,USER_6,NVARCHAR(80),True,False,,
OPERATION,USER_7,NVARCHAR(80),True,False,,
OPERATION,USER_8,NVARCHAR(80),True,False,,
OPERATION,USER_9,NVARCHAR(80),True,False,,
OPERATION,USER_10,NVARCHAR(80),True,False,,
OPERATION,UDF_LAYOUT_ID,NVARCHAR(15),True,False,,
OPERATION,NUM_MEM_TO_SCHED,smallint,True,False,,
OPERATION,SERVICE_BUFFER,int,True,False,,
OPERATION,MILESTONE_SUB_ID,NVARCHAR(3),True,False,,
OPERATION,POST_MILESTONE,NCHAR(1),True,False,,
OPERATION,PROJ_MILESTONE_OP,NCHAR(1),True,False,,
OPERATION,WBS_CODE,NVARCHAR(30),True,False,,
OPERATION,WBS_START_DATE,datetime,True,False,,
OPERATION,WBS_END_DATE,datetime,True,False,,
OPERATION,WBS_DURATION,"DECIMAL(14,4)",True,False,,
OPERATION,MILESTONE_SEQ_NO,smallint,True,False,,
OPERATION,PRD_INSP_PLAN_ID,NVARCHAR(16),True,False,,
OPERATION,SETUP_INSPECT_REQ,NCHAR(1),True,False,,
OPERATION,RUN_INSPECT_REQ,NCHAR(1),True,False,,
OPERATION,STATUS_EFF_DATE,datetime,False,False,,
OPERATION,PRED_SUB_ID,NVARCHAR(3),True,False,,
OPERATION,PRED_SEQ_NO,smallint,True,False,,
OPERATION,SITE_ID,NVARCHAR(15),False,False,,
OPERATION,SCHED_CAPACITY_USAGE,int,True,False,,
OPERATION,BID_RATE_CATEGORY_ID,NVARCHAR(15),True,False,,
OPERATION,OVERLAP_SETUP,NCHAR(1),False,False,,
OPERATION,PERCENT_COMPL,NVARCHAR(1),True,False,,
OPERATION,QTY_COMPL_BY_HRS,NVARCHAR(1),True,False,,
OPERATION,MAX_QTY_COMPLETE,"DECIMAL(20,8)",True,False,,
OPERATION,DISPATCH_SEQUENCE,int,False,False,,
OPERATION,COMB_DISP_SEQUENCE,int,False,False,,
OPERATION_AUDIT,ROWID,int,True,False,,
OPERATION_AUDIT,SCHEDULE_ID,NVARCHAR(15),False,True,,
OPERATION_AUDIT,ATTEMPT_NO,int,False,True,,
OPERATION_AUDIT,RESOURCE_ID,NVARCHAR(15),False,True,,
OPERATION_AUDIT,UNIT_NO,smallint,False,True,,
OPERATION_AUDIT,WORKORDER_TYPE,NCHAR(1),False,False,,
OPERATION_AUDIT,WORKORDER_BASE_ID,NVARCHAR(30),False,False,,
OPERATION_AUDIT,WORKORDER_LOT_ID,NVARCHAR(3),False,False,,
OPERATION_AUDIT,WORKORDER_SPLIT_ID,NVARCHAR(3),False,False,,
OPERATION_AUDIT,WORKORDER_SUB_ID,NVARCHAR(3),False,False,,
OPERATION_AUDIT,SEQUENCE_NO,smallint,False,False,,
OPERATION_AUDIT,WORKORDER_PASS_NO,int,False,False,,
OPERATION_AUDIT,DIRECTION,NCHAR(1),False,False,,
OPERATION_AUDIT,RESULT,NCHAR(1),False,False,,
OPERATION_AUDIT,START_DATE,datetime,True,False,,
OPERATION_AUDIT,FINISH_DATE,datetime,True,False,,
OPERATION_AUDIT,COULD_START_FINISH,datetime,True,False,,
