id,name,contact_email,country
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Sanchez-Taylor,rhodespatricia@garza.com,BW
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Hoffman Ltd,lrobinson@pacheco-smith.com,MC
27cd8130-4722-4389-971a-a8766c307511,Bernard LLC,daviscolin@munoz-roman.info,SO
60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,Arnold Ltd,barbara10@perez.com,BZ
a2bc372f-7412-4293-8729-4739614ff3d7,Martin-Kelly,jacqueline19@jackson.biz,IR
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,"Robinson, Nguyen and Tate",perezantonio@morales-jones.org,VC
7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,Wilkerson-Day,josephwright@ryan.org,MZ
ff5e9ff0-ff50-4de4-b825-67b85cabcc97,Hicks Inc,callahaneric@conner.org,BI
ff01cf99-988c-44c9-a1b1-cd2262801c45,Rice-Maddox,frazierdanny@potter.com,NZ
f42d47cc-00d4-4f59-b427-3ca3287d06ca,"Liu, Baker and Mason",williamrodriguez@evans.com,MR
f4188f3f-8a14-4e62-a95b-4715c333e861,"Sellers, George and Burns",hickmannatasha@allen-allen.org,BR
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Spence PLC,davidalvarez@martin.com,SR
337ea2df-b09b-4a5c-badc-c32ac1590f53,"Collins, Carney and Santos",clam@wright.com,AO
96a402f2-3ae8-4c93-8dcd-cd03969b6662,Smith Ltd,perezrebecca@jones-young.info,GH
ef7ddc76-b92d-422b-a1df-306f8a0b3c33,"Johnston, Sanchez and Kennedy",glee@jordan.com,GQ
1931e9ee-a56c-4941-bbf2-4050a748dbcf,Powell LLC,wrightjames@taylor-white.info,HU
71710434-134c-4c92-ac5b-227cdfde4fbf,"Garcia, Pearson and Fernandez",novaksara@martin.info,GH
0f02bad0-e706-4ef4-a6aa-9385dd59ba71,Gray Group,sara74@horton-cross.net,HR
309d258c-27a0-43d7-bc96-7f79b7e99aca,Robinson-Brown,adkinsbrian@woods.com,SE
118a9d29-2f92-4996-99f1-95d014822f53,"Jones, Hensley and Powell",bethwilliams@barnes.org,SK
