PACKLIST_ID,LINE_NO,CUSTOMER_ID,ID,PART_ID,SHIPPED_DATE,SHIPPED_QTY,TOTAL_AMT_SHIPPED,UNIT_PRICE,TOTAL_AMT_SHIPPED,NAME,ADDR_1,ADDR_2,ADDR_3,CITY,STATE,COUNTRY,BILL_TO_ADDR_1,BILL_TO_ADDR_2,BILL_TO_ADDR_3
1479703,16,NULL,NULL,NULL,2025-12-15 00:00:00.000,12.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480853,2,NULL,NULL,NULL,2025-12-23 00:00:00.000,1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480307,2,NULL,NULL,NULL,2025-12-18 00:00:00.000,1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481321,2,NULL,NULL,NULL,2025-12-31 00:00:00.000,1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482830,4,NULL,NULL,NULL,2026-01-13 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482834,4,NULL,NULL,NULL,2026-01-13 00:00:00.000,2.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483038,4,NULL,NULL,NULL,2026-01-15 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483106,4,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482968,4,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482947,4,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482897,4,NULL,NULL,NULL,2026-01-13 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482706,5,NULL,NULL,NULL,2026-01-12 00:00:00.000,22.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480551,1,NULL,NULL,NULL,2025-12-22 00:00:00.000,6.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480728,3,NULL,NULL,NULL,2025-12-22 00:00:00.000,7.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482919,1,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482919,2,NULL,NULL,NULL,2026-01-14 00:00:00.000,25.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1479859,13,NULL,NULL,NULL,2025-12-15 00:00:00.000,4.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480164,3,NULL,NULL,NULL,2025-12-17 00:00:00.000,36.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483003,6,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481906,1,NULL,NULL,NULL,2026-01-06 00:00:00.000,10.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480423,3,NULL,NULL,NULL,2025-12-19 00:00:00.000,5.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482762,1,NULL,NULL,NULL,2026-01-13 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482762,2,NULL,NULL,NULL,2026-01-13 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481735,1,NULL,NULL,NULL,2026-01-06 00:00:00.000,1.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481736,1,NULL,NULL,NULL,2026-01-06 00:00:00.000,3.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1480983,1,NULL,NULL,NULL,2025-12-29 00:00:00.000,4.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481282,1,NULL,NULL,NULL,2025-12-31 00:00:00.000,4.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1482924,1,NULL,NULL,NULL,2026-01-14 00:00:00.000,6.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483003,2,NULL,NULL,NULL,2026-01-14 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481285,1,NULL,NULL,NULL,2025-12-31 00:00:00.000,3.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1481286,1,NULL,NULL,NULL,2025-12-31 00:00:00.000,11.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483102,1,NULL,NULL,NULL,2026-01-15 00:00:00.000,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1483133,1,BOE609,001996747,66-23754-1,2026-01-15 00:00:00.000,420.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1479938,1,BOE609,002005900,140W9686-1067,2025-12-15 00:00:00.000,1.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480172,1,BOE609,002006577,414T4100-47,2025-12-17 00:00:00.000,9.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482971,1,BOE609,002006768,417A8651-5,2026-01-14 00:00:00.000,108.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1481289,1,BOE609,002006968,232A1644-3,2025-12-31 00:00:00.000,30.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482560,1,BOE609,002007511,143T0033-7,2026-01-12 00:00:00.000,10.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480665,1,BOE609,002008583,437W8500-7,2025-12-22 00:00:00.000,12.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480035,1,BOE609,002009004,287W4505-297,2025-12-16 00:00:00.000,6.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482931,1,BOE609,002009004A,287W4505-297,2026-01-14 00:00:00.000,6.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1481215,1,BOE609,002009010,140W9111-99502,2025-12-30 00:00:00.000,2.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482351,1,BOE609,002009227,113A8501-29,2026-01-09 00:00:00.000,48.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1481504,1,BOE609,002009323,140T0113-99020,2026-01-03 00:00:00.000,3.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482726,1,BOE609,002010424,232A4255-47,2026-01-12 00:00:00.000,30.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480791,1,BOE609,002010723,232T3013-21B,2025-12-22 00:00:00.000,1.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482801,1,BOE609,002010846,232A1644-3,2026-01-13 00:00:00.000,30.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1482569,1,BOE609,002011030,413W3420-1A,2026-01-12 00:00:00.000,12.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480652,1,BOE609,002011123,232A2413-7,2025-12-22 00:00:00.000,10.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1479716,1,BOE609,002011280,112T8108-506,2025-12-15 00:00:00.000,15.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1479714,1,BOE609,002011351,343W2513-53,2025-12-15 00:00:00.000,27.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480826,1,BOE609,002011717,417A8651-4,2025-12-23 00:00:00.000,107.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
1480382,1,BOE609,002011864,284W8047-1,2025-12-18 00:00:00.000,4.00000000,0.00000000,0.00000000,0.00000000,BOEING SERVICES,THE BOEING COMPANY,BLDG 17-05,NULL,AUBURN,WA,UNITED STATES,THE BOEING COMPANY,BLDG 17-05,NULL
